Car ID,Car Name,Year,Age of Car,Distance,Owner,Fuel,Location,Drive,Type,Price,Ratings,Safety Rating,Color
1,Hyundai GRAND I10 NIOS,2020,4,114004,1,DIESEL,GJ-27,Manual,HatchBack,686000,1,2,Blue
2,Honda City,2015,9,94947,1,PETROL,KA-03,Automatic,Sedan,649000,4,1,Blue
3,Maruti S PRESSO,2021,3,15012,1,CNG,PB-10,Manual,HatchBack,447000,5,4,Blue
4,Honda Amaze,2014,10,35895,1,PETROL,MH-43,Manual,Sedan,464000,1,2,Black
5,Maruti Celerio,2015,9,37160,1,PETROL,MH-01,Manual,HatchBack,361000,3,4,Black
6,Maruti IGNIS,2017,7,26530,1,PETROL,MH-47,Manual,HatchBack,488000,4,3,Red
7,Honda Amaze,2021,3,97084,1,PETROL,KA-41,Manual,Sedan,422000,4,2,Blue
8,Honda City,2015,9,87392,1,CNG,DL-9C,Manual,Sedan,673000,4,3,Blue
9,Hyundai i10,2015,9,60638,2,PETROL,TS-09,Manual,HatchBack,385000,1,4,Red
10,Hyundai Verna,2020,4,59164,1,PETROL,DL-11,Automatic,Sedan,916000,1,2,Red
11,Maruti Alto,2019,5,18475,1,PETROL,HR-29,Manual,HatchBack,386000,2,3,Black
12,Datsun Redi Go,2016,8,31663,2,PETROL,KA-53,Manual,HatchBack,253000,2,3,Orange
13,Maruti Ciaz,2017,7,14010,1,PETROL,GJ-01,Automatic,Sedan,1144000,3,5,White
14,Maruti Alto 800,2018,6,41226,2,PETROL,PB-10,Manual,HatchBack,313000,4,1,Blue
15,Maruti Celerio,2017,7,49815,1,PETROL,KA-01,Automatic,HatchBack,520000,4,2,White
16,Toyota Corolla Altis,2012,12,63140,1,PETROL,DL-3C,Automatic,Lux_sedan,496000,5,1,White
17,Renault Kiger,2021,3,9698,1,PETROL,DL-3C,Automatic,HatchBack,968000,4,4,Blue
18,Hyundai Grand i10,2017,7,51171,1,PETROL,KA-02,Manual,HatchBack,464000,1,5,Blue
19,Tata NEXON,2021,3,13767,1,PETROL,TN-73,Automatic,SUV,1143000,5,3,Black
20,Honda City,2016,8,60478,1,CNG,TN-87,Manual,Sedan,765000,1,4,Blue
21,Maruti S PRESSO,2021,3,34978,1,PETROL,UP-80,Manual,HatchBack,394000,1,1,White
22,Maruti Dzire,2017,7,84712,1,PETROL,HR-26,Manual,Sedan,508000,3,5,White
23,Maruti Alto 800,2018,6,21549,1,PETROL,MP-09,Manual,HatchBack,313000,4,1,Black
24,Tata Tiago,2019,5,42739,2,PETROL,TN-09,Manual,HatchBack,515000,1,4,White
25,Maruti Celerio,2017,7,36810,1,PETROL,KA-09,Automatic,HatchBack,482000,5,3,White
26,Volkswagen Polo,2016,8,89240,1,PETROL,TS-08,Manual,HatchBack,439000,5,5,White
27,Maruti Ritz,2011,13,57364,2,PETROL,KA-02,Manual,HatchBack,320000,4,1,White
28,Maruti IGNIS,2018,6,73936,1,PETROL,MH-01,Automatic,HatchBack,613000,4,2,Black
29,Maruti Swift,2015,9,64751,1,DIESEL,MH-03,Manual,HatchBack,487650,1,1,Red
30,Hyundai Eon,2012,12,49985,2,PETROL,KA-51,Manual,HatchBack,290000,5,1,Red
31,Toyota Etios Liva,2017,7,22356,2,PETROL,MH-01,Manual,HatchBack,447000,5,2,White
32,Maruti Wagon R 1.0,2016,8,51428,1,PETROL,GJ-06,Automatic,HatchBack,421000,4,2,Black
33,Hyundai Eon,2015,9,54108,3,PETROL,GJ-01,Manual,HatchBack,285000,5,5,Black
34,Maruti XL6,2022,2,10259,1,PETROL,PB-65,Automatic,SUV,1396000,2,5,Black
35,Hyundai i10,2010,14,72351,2,PETROL,TN-06,Manual,HatchBack,235000,2,1,Blue
36,Hyundai i20 Active,2016,8,31279,1,PETROL,WB-08,Manual,HatchBack,512000,4,5,Orange
37,Mahindra Thar,2018,6,90305,2,DIESEL,TS-29,Manual,SUV,788000,4,1,Black
38,Hyundai New Elantra,2016,8,78948,1,DIESEL,WB-02,Automatic,Lux_sedan,856000,2,1,White
39,Hyundai Elite i20,2017,7,60136,1,PETROL,KA-01,Manual,HatchBack,692000,4,2,Red
40,Hyundai Elite i20,2019,5,63173,1,PETROL,GJ-01,Manual,HatchBack,693000,5,5,Orange
41,Maruti IGNIS,2019,5,23547,1,PETROL,HR-72,Manual,HatchBack,546800,4,1,Blue
42,Maruti Alto 800,2014,10,24027,1,PETROL,MH-02,Manual,HatchBack,211000,1,3,Black
43,Toyota YARIS,2018,6,18326,1,PETROL,PB-70,Manual,Sedan,733000,5,4,White
44,Maruti Wagon R 1.0,2011,13,22866,1,PETROL,DL-8C,Manual,HatchBack,220000,4,4,Red
45,Hyundai Creta,2017,7,44545,2,PETROL,TS-09,Automatic,SUV,1032000,1,2,White
46,Nissan Micra,2017,7,31476,1,PETROL,KA-03,Automatic,HatchBack,545000,3,3,Black
47,Maruti Alto 800,2018,6,66297,1,PETROL,MH-15,Manual,HatchBack,321000,5,1,White
48,Hyundai Grand i10,2014,10,63113,1,PETROL,RJ-14,Automatic,HatchBack,401000,1,1,Black
49,Hyundai Creta,2022,2,4164,1,DIESEL,MH-14,Manual,SUV,1449000,3,4,White
50,Honda Amaze,2019,5,65358,2,PETROL,RJ-10,Manual,Sedan,597000,3,4,Black
51,Hyundai Elite i20,2018,6,33282,2,PETROL,KA-53,Manual,HatchBack,749000,3,4,White
52,Honda Amaze,2014,10,48144,1,PETROL,HR-51,Manual,Sedan,491000,1,4,Red
53,Ford Ecosport,2019,5,42354,1,DIESEL,MH-01,Manual,SUV,1002000,1,2,Orange
54,Maruti Alto 800,2017,7,54791,1,PETROL,TS-07,Manual,HatchBack,331000,4,2,White
55,Maruti Ertiga,2016,8,60501,1,PETROL,WB-24,Manual,SUV,634000,4,2,Blue
56,Mahindra XUV500,2017,7,79282,2,DIESEL,GJ-23,Automatic,Lux_SUV,1007000,3,2,Black
57,Maruti S PRESSO,2020,4,51289,1,CNG,DL-6C,Manual,HatchBack,503000,4,5,White
58,Honda Amaze,2015,9,37243,1,DIESEL,WB-02,Automatic,Sedan,891000,3,2,Blue
59,Maruti Wagon R 1.0,2017,7,80567,2,CNG,GJ-05,Manual,HatchBack,343000,4,2,Black
60,Maruti Wagon R 1.0,2016,8,71947,1,PETROL,BR-01,Automatic,HatchBack,320000,1,4,Black
61,Maruti Ciaz,2018,6,52698,1,PETROL,DL-8C,Manual,Sedan,361000,3,5,Blue
62,Datsun Redi Go,2019,5,37238,1,PETROL,HR-12,Manual,HatchBack,323000,2,1,Black
63,Maruti Wagon R 1.0,2017,7,38035,1,PETROL,GJ-19,Automatic,HatchBack,404000,5,3,Red
64,Hyundai Grand i10,2016,8,49548,1,PETROL,HR-26,Manual,HatchBack,459000,2,2,Orange
65,Hyundai Elite i20,2016,8,60350,1,PETROL,TS-07,Manual,HatchBack,629000,4,2,Red
66,Maruti S Cross,2017,7,70930,1,DIESEL,MH-36,Manual,SUV,645000,1,1,White
67,Hyundai Verna,2014,10,53875,1,PETROL,GJ-05,Manual,Sedan,481000,3,1,White
68,Volkswagen Polo,2017,7,50734,2,PETROL,TS-07,Manual,HatchBack,648000,2,5,White
69,Ford Ecosport,2017,7,87141,1,PETROL,TN-07,Manual,SUV,643000,1,3,Orange
70,Renault Kwid,2018,6,34430,2,PETROL,TS-07,Automatic,HatchBack,420350,1,5,Black
71,Ford FREESTYLE,2021,3,57662,1,PETROL,KL-80,Manual,SUV,606000,4,1,Black
72,Hyundai Verna,2013,11,76915,2,PETROL,HR-26,Manual,Sedan,409000,3,2,White
73,Mahindra XUV500,2016,8,49648,1,DIESEL,MH-48,Automatic,Lux_SUV,1017000,4,4,Blue
74,Hyundai i10,2012,12,75621,1,PETROL,UP-16,Manual,HatchBack,253000,1,4,Black
75,Renault Kwid,2017,7,24530,1,PETROL,TS-07,Automatic,HatchBack,390000,1,4,Black
76,Hyundai i20,2011,13,93658,2,PETROL,DL-4C,Manual,HatchBack,207000,1,5,White
77,Maruti Celerio,2016,8,68512,2,PETROL,TS-13,Automatic,HatchBack,442000,2,3,White
78,Maruti Baleno,2017,7,27626,1,PETROL,UP-32,Automatic,HatchBack,615000,1,2,Red
79,Maruti Swift,2019,5,81694,1,CNG,HR-10,Manual,HatchBack,537000,3,5,Red
80,Maruti Wagon R 1.0,2014,10,51080,1,PETROL,BR-01,Manual,HatchBack,269800,5,2,White
81,Maruti Dzire,2017,7,81369,1,PETROL,HR-03,Manual,Sedan,553000,4,3,White
82,Tata NEXON,2021,3,66395,1,DIESEL,GJ-06,Manual,SUV,1015000,1,4,Orange
